date,year,month,month_num,quarter,price,month_sin,month_cos,price_lag_1,price_lag_3,price_lag_6,price_lag_12,price_rolling_mean_3,price_rolling_mean_6,price_rolling_std_3,price_pct_change_1,price_pct_change_3,price_pct_change_12,price_yoy_change
2011-01-01,2011,January,1,1,91.32,0.49999999999999994,0.8660254037844387,90.15,92.36,93.35,88.44,89.92999999999999,90.82,1.5120515864215966,0.012978369384359256,-0.011260285838025186,0.03256445047489809,0.03256445047489809
2011-02-01,2011,February,2,1,91.52,0.8660254037844386,0.5000000000000001,91.32,88.32,90.84,89.44,90.99666666666667,90.93333333333334,0.7400225221798052,0.002190100744634327,0.03623188405797095,0.023255813953488413,0.023255813953488413
2011-03-01,2011,March,3,1,94.13,1.0,6.123233995736766e-17,91.52,90.15,91.93,89.98,92.32333333333334,91.3,1.5678116383460565,0.028518356643356668,0.044148641153632706,0.046121360302289194,0.046121360302289194
2011-04-01,2011,April,4,2,92.97,0.8660254037844387,-0.4999999999999998,94.13,91.32,92.36,91.96,92.87333333333333,91.40166666666666,1.3076824283186357,-0.012323382556039486,0.018068331143232585,0.010983036102653276,0.010983036102653276
2011-05-01,2011,May,5,2,94.09,0.49999999999999994,-0.8660254037844387,92.97,91.52,88.32,93.29,93.73,92.36333333333333,0.6584831053261295,0.012046896848445732,0.028081293706293753,0.008575410011791185,0.008575410011791185
2011-06-01,2011,June,6,2,94.19,1.2246467991473532e-16,-1.0,94.09,94.13,90.15,93.77,93.75,93.03666666666668,0.6773477688750025,0.0010628122010840624,0.0006374163391054122,0.0044790444705129495,0.0044790444705129495
2011-07-01,2011,July,7,3,92.76,-0.4999999999999997,-0.8660254037844388,94.19,92.97,91.32,93.35,93.68,93.27666666666666,0.79831071645064,-0.015182078776940111,-0.0022587931590835053,-0.006320299946438013,-0.006320299946438013
2011-08-01,2011,August,8,3,92.23,-0.8660254037844385,-0.5000000000000004,92.76,94.09,91.52,90.84,93.06,93.395,1.0138540328863603,-0.005713669685209144,-0.019768306940163627,0.015301629238221093,0.015301629238221093
2011-09-01,2011,September,9,3,92.78,-1.0,-1.8369701987210297e-16,92.23,94.19,94.13,91.93,92.58999999999999,93.17,0.3119294792095547,0.005963352488344231,-0.014969742010829123,0.00924616556075275,0.00924616556075275
2011-10-01,2011,October,10,4,92.58,-0.8660254037844386,0.5000000000000001,92.78,92.76,92.97,92.36,92.53000000000002,93.105,0.27838821814139864,-0.002155636990730847,-0.0019404915912031306,0.0023819835426590608,0.0023819835426590608
